municipality,cz,size
29203,258,29541
29204,258,22704
29205,268,37067
29206,269,20663
29207,270,15159
29208,268,13216
29209,257,25100
29210,257,12185
29211,268,10108
29212,269,15662
29322,245,2584
29342,257,5624
29343,257,6019
29344,258,9079
29345,258,2548
29361,258,3274
29362,258,3010
29363,258,9948
29385,245,1158
29386,245,1281
29401,268,3345
29402,268,2593
29424,257,5205
29425,257,6236
29426,268,6667
29427,257,5119
29441,270,5762
29442,270,5866
29443,270,4315
29444,270,674
29446,271,1200
29447,272,399
29449,273,2093
29450,248,632
29451,248,448
29452,270,1485
29453,269,1706
30201,274,147812
30202,274,26578
30203,275,19894
30204,274,12822
30205,276,10703
30206,277,31973
30207,250,14759
30208,274,24396
30209,274,8568
30304,274,5938
30341,275,9604
30343,275,2952
30344,275,2468
30361,274,5856
30362,274,3366
30366,274,11604
30381,276,3072
30382,276,2634
30383,276,3374
30390,276,4218
30391,277,5767
30392,276,4755
30401,277,10279
30404,277,4442
30406,277,2553
30421,250,8715
30422,250,1408
30424,250,1762
30427,248,241
30428,250,8948
31201,278,80429
31202,279,58102
31203,280,25659
31204,279,15366
31302,278,7334
31325,278,3239
31328,278,5267
31329,278,10478
31364,280,4477
31370,280,8579
31371,280,11016
31372,280,7984
31384,279,1252
31386,279,10784
31389,279,5959
31390,279,6080
31401,279,4293
31402,279,2762
31403,279,2754
32201,281,82424
32202,282,32716
32203,281,72332
32204,283,26597
32205,282,20904
32206,281,23044
32207,282,13816
32209,281,23390
32343,284,8519
32386,285,3507
32441,282,2882
32448,282,3957
32449,282,7543
32501,283,6150
32505,283,4096
32525,286,1359
32526,286,1776
32527,287,383
32528,288,8372
33100,289,233365
33202,290,170196
33203,291,43335
33204,292,30375
33205,290,24498
33207,290,22948
33208,290,23876
33209,293,21365
33210,294,20078
33211,289,19717
33212,289,15250
33213,289,15065
33214,295,28199
33215,291,16310
33216,290,15275
33346,289,7871
33423,290,4048
33445,290,3604
33461,290,8047
33586,295,729
33606,291,7959
33622,291,4572
33623,291,3055
33643,291,832
33663,289,3282
33666,291,9037
33681,293,7173
34100,296,393986
34202,296,112384
34203,297,14740
34204,297,46164
34205,298,70549
34207,290,170377
34208,290,24687
34209,299,29381
