i,cluster
40217,327
40218,327
40219,327
40220,327
40221,327
40223,327
40224,327
40225,333
40226,330
40227,330
40228,333
40229,329
40230,327
40305,327
40341,327
40342,327
40343,327
40344,327
40345,327
40348,327
40349,327
40381,326
40382,326
40383,326
40384,326
40401,330
40402,330
40421,330
40447,333
40448,333
40503,329
40522,329
40544,329
40601,331
40602,331
40604,331
40605,331
40608,331
40609,331
40610,331
40621,326
40625,326
40642,332
40646,332
40647,326
41201,334
41202,335
41203,336
41204,334
41205,337
41206,334
41207,338
41208,334
41209,338
41210,334
41327,336
41341,336
41345,336
41346,336
41387,335
41401,337
41423,334
41424,334
41425,334
41441,338
42201,339
42202,340
42203,341
42204,339
42205,340
42207,342
42208,342
42209,343
42210,344
42211,345
42212,339
42213,341
42214,341
42307,339
42308,339
42321,340
42322,340
42323,340
42383,346
42391,340
42411,345
43100,347
43202,348
43203,349
43204,328
43205,350
43206,328
43208,328
43210,347
43211,348
43212,351
43213,348
43214,352
43215,353
43216,347
43348,348
43364,328
43367,328
43368,328
43369,328
43403,347
43404,347
43423,354
43424,354
43425,352
43428,352
43432,347
43433,352
43441,347
43442,347
43443,347
43444,347
43447,355
43468,348
43482,350
43484,350
43501,349
43505,349
43506,349
43507,349
43510,349
43511,356
43512,349
43513,349
43514,349
43531,353
44201,357
44202,357
44203,332
44204,333
44205,358
44206,358
44207,358
44208,359
44209,332
44210,357
44211,332
44212,359
44213,357
44214,360
44322,360
44341,357
44461,361
44462,361
45201,362
45202,363
45203,364
45204,365
45205,366
45206,364
45207,365
45208,362
45209,366
45341,363
45361,366
45382,362
45383,362
45401,362
45402,362
45403,367
45404,362
45405,364
45406,364
45421,364
45429,368
45430,367
45431,368
45441,369
45442,369
45443,355
46201,370
46203,371
46204,372
46206,373
46208,373
46210,374
46213,375
46214,370
46215,376
46216,370
46217,363
46218,370
46219,376
46220,372
46221,371
46222,377
46223,372
46224,378
46225,370
46303,379
46304,380
46392,376
46404,381
46452,370
46468,371
46482,371
46490,382
46491,382
46492,371
46501,383
46502,383
46505,384
46523,377
46524,385
46525,386
46527,377
46529,387
46530,388
46531,388
46532,388
46533,389
46534,389
46535,390
47201,391
47205,391
47207,392
47208,391
47209,393
47210,391
47211,391
47212,391
47213,391
47214,394
47215,391
47301,393
47302,393
47303,393
47306,393
47308,393
47311,391
47313,393
47314,393
47315,395
47324,391
47325,391
47326,391
47327,391
47328,391
47329,391
47348,391
47350,391
47353,396
47354,397
47355,398
47356,399
47357,400
47358,401
47359,402
47360,403
47361,404
47362,391
47375,394
47381,392
47382,405
