i,cluster
19407,211
19408,211
19409,211
19421,165
19422,209
19423,209
19424,209
19425,209
19426,209
19427,209
19428,209
19429,209
19441,165
19442,213
19443,213
20201,214
20202,215
20203,216
20204,217
20205,218
20206,217
20207,214
20208,219
20209,220
20210,220
20211,221
20212,222
20213,221
20214,217
20215,215
20216,223
20217,219
20301,219
20302,219
20303,224
20304,224
20305,224
20306,224
20307,224
20308,219
20321,219
20322,219
20323,219
20324,219
20325,219
20326,216
20341,216
20342,216
20343,216
20345,216
20346,216
20347,216
20349,216
20361,217
20362,217
20363,217
20381,220
20382,220
20383,220
20384,220
20385,220
20386,220
20387,220
20388,220
20402,220
20403,218
20404,218
20406,218
20407,218
20408,218
20409,218
20410,225
20411,218
20412,218
20413,218
20414,218
20415,218
20416,218
20417,226
20418,227
20419,227
20421,228
20422,228
20423,228
20424,215
20425,228
20426,228
20427,228
20428,228
20429,228
20430,228
20431,229
20441,215
20443,215
20444,215
20445,215
20446,215
20447,215
20448,215
20449,215
20450,215
20451,215
20461,215
20462,215
20463,230
20464,230
20465,215
20466,215
20467,215
20481,222
20482,222
20483,222
20484,222
20485,222
20486,222
20501,223
20502,214
20521,223
20522,223
20541,214
20543,214
20561,221
20562,221
20563,221
20581,214
20582,214
20583,214
20584,214
20585,214
20586,214
20587,214
20588,214
20589,214
20601,221
20602,187
21201,231
21202,232
21203,233
21204,234
21205,235
21206,229
21207,235
21208,234
21209,231
21210,229
21211,236
21212,234
21213,231
21214,236
21301,237
21302,231
21303,231
21304,231
21321,232
21322,232
21323,232
21341,232
21342,232
21361,232
21362,232
21381,232
21382,232
21383,232
21384,232
21401,238
21402,238
21403,238
21404,232
21405,238
21406,238
21407,238
21408,238
21421,231
21422,231
21423,231
21424,231
21425,231
21426,231
21427,231
21441,231
21442,231
21443,231
21461,235
21462,235
21463,235
21464,235
21465,235
21481,239
21482,239
21483,239
21484,239
21485,239
21486,239
21487,240
21501,236
21502,235
21503,236
21504,236
21505,236
21506,241
21507,241
21521,236
21523,236
21541,234
21561,229
21562,229
21563,229
21564,229
21565,229
21566,229
21567,229
21568,234
21569,234
21570,234
21571,234
21581,242
21582,242
21583,242
21584,240
21585,242
21601,233
21602,233
21603,243
21604,243
21605,233
21606,233
21607,233
21608,244
21621,233
21622,233
21623,233
21624,233
21625,245
21626,245
22201,246
