year,cutoff,zone,municipalities,muni_names,resident_labour_force,mean_contained,labour_weighted_contained
1980,0.977,673,1,越智郡生名村,1057,0.2913907284768212,0.2913907284768212
1980,0.977,674,1,越智郡岩城村,1211,0.7877786952931461,0.7877786952931461
1980,0.977,675,1,越智郡関前村,542,0.9354243542435424,0.9354243542435424
1980,0.977,676,1,温泉郡中島町,4153,0.9925355164941007,0.9925355164941007
1980,0.977,677,1,宗像郡大島村,442,0.9796380090497737,0.9796380090497737
1980,0.977,678,4,福江市; 南松浦郡富江町; 南松浦郡玉之浦町; 南松浦郡岐宿町,17083,0.9807219160859302,0.9812679271790669
1980,0.977,679,1,南松浦郡三井楽町,1729,0.876229034123771,0.876229034123771
1980,0.977,680,1,平戸市,11071,0.9605275042904886,0.9605275042904886
1980,0.977,681,1,西彼杵郡伊王島町,464,0.5862068965517241,0.5862068965517241
1980,0.977,682,1,西彼杵郡高島町,2499,0.988795518207283,0.988795518207283
1980,0.977,683,1,西彼杵郡大島町,2840,0.9387323943661972,0.9387323943661972
1980,0.977,684,1,西彼杵郡崎戸町,1114,0.874326750448833,0.874326750448833
1980,0.977,685,1,北松浦郡大島村,973,0.9886947584789312,0.9886947584789312
1980,0.977,686,1,北松浦郡生月町,3385,0.9583456425406204,0.9583456425406204
1980,0.977,687,1,北松浦郡小値賀町,1929,0.9891135303265941,0.9891135303265941
1980,0.977,688,1,北松浦郡宇久町,1821,0.956617243272927,0.956617243272927
1980,0.977,689,1,北松浦郡福島町,1505,0.7727574750830565,0.7727574750830565
1980,0.977,690,1,北松浦郡鷹島町,1394,0.9827833572453372,0.9827833572453372
1980,0.977,691,1,南松浦郡奈留町,1783,0.9826135726303982,0.9826135726303982
1980,0.977,692,5,南松浦郡若松町; 南松浦郡上五島町; 南松浦郡新魚目町; 南松浦郡有川町; 南松浦郡奈良尾町,11836,0.9802017557811745,0.9798918553565393
1980,0.977,693,4,壱岐郡郷ノ浦町; 壱岐郡勝本町; 壱岐郡芦辺町; 壱岐郡石田町,15113,0.9963058704610259,0.9964269172235823
1980,0.977,694,2,対馬支庁厳原町; 対馬支庁美津島町,10162,0.9910799597530688,0.992816374729384
1980,0.977,695,2,対馬支庁豊玉町; 対馬支庁峰町,3449,0.9643922149785162,0.9634676717889243
1980,0.977,696,2,対馬支庁上県町; 対馬支庁上対馬町,4839,0.987818944261805,0.9886340152924158
1980,0.977,697,5,本渡市; 天草郡有明町; 天草郡栖本町; 天草郡新和町; 天草郡五和町,27706,0.9708675407977412,0.9737601963473616
1980,0.977,698,2,牛深市; 天草郡河浦町,11657,0.9628153578893658,0.9728918246547139
1980,0.977,699,3,天草郡松島町; 天草郡姫戸町; 天草郡龍ヶ岳町,7311,0.9482469021870025,0.9398167145397347
1980,0.977,700,1,天草郡倉岳町,1676,0.9033412887828163,0.9033412887828163
1980,0.977,701,2,天草郡苓北町; 天草郡天草町,6372,0.93363005544714,0.9267106089139987
1980,0.977,702,1,天草郡御所浦町,1815,0.9647382920110192,0.9647382920110192
1980,0.977,703,1,東国東郡姫島村,1273,0.9772191673212883,0.9772191673212883
1980,0.977,704,4,名瀬市; 大島郡大和村; 大島郡住用村; 大島郡龍郷町,20440,0.9818228913123881,0.9914383561643836
1980,0.977,705,1,大島郡宇検村,849,0.9858657243816255,0.9858657243816255
1980,0.977,706,1,大島郡瀬戸内町,4544,0.9953785211267606,0.9953785211267606
1980,0.977,707,1,大島郡笠利町,2952,0.9684959349593496,0.9684959349593496
1980,0.977,708,1,西之表市,9134,0.9925552879351872,0.9925552879351872
1980,0.977,709,2,熊毛郡中種子町; 熊毛郡南種子町,8428,0.9898381826463735,0.9887280493592786
1980,0.977,710,1,鹿児島郡三島村,176,1,1
1980,0.977,711,1,鹿児島郡十島村,371,0.9973045822102425,0.9973045822102425
1980,0.977,712,2,薩摩郡里村; 薩摩郡上甑村,1655,0.9986111111111111,0.9987915407854985
1980,0.977,713,1,薩摩郡下甑村,1154,0.9982668977469671,0.9982668977469671
1980,0.977,714,1,薩摩郡鹿島村,375,0.9893333333333333,0.9893333333333333
1980,0.977,715,2,熊毛郡上屋久町; 熊毛郡屋久町,5479,0.9996330237131383,0.9996349698850155
1980,0.977,716,1,大島郡喜界町,3341,0.9985034420832086,0.9985034420832086
1980,0.977,717,3,大島郡徳之島町; 大島郡天城町; 大島郡伊仙町,10805,0.9998713495432909,0.9999074502545118
1980,0.977,718,2,大島郡和泊町; 大島郡知名町,6335,0.9998554495518936,0.9998421468034727
1980,0.977,719,1,大島郡与論町,2538,1,1
1980,0.977,724,4,平良市; 宮古郡城辺町; 宮古郡下地町; 宮古郡上野村,16456,0.9948240787651013,0.9922824501701507
1980,0.977,725,1,石垣市,13839,0.9969650986342944,0.9969650986342944
1980,0.977,726,1,国頭郡伊江村,1898,1,1
1980,0.977,727,2,島尻郡仲里村; 島尻郡具志川村,3451,1,1
1980,0.977,728,1,島尻郡渡嘉敷村,358,1,1
1980,0.977,729,1,島尻郡座間味村,313,0.987220447284345,0.987220447284345
1980,0.977,730,1,島尻郡粟国村,260,1,1
1980,0.977,731,1,島尻郡渡名喜村,203,0.9605911330049262,0.9605911330049262
1980,0.977,732,1,島尻郡南大東村,727,1,1
1980,0.977,733,1,島尻郡北大東村,310,1,1
1980,0.977,734,1,島尻郡伊平屋村,533,0.9962476547842402,0.9962476547842402
1980,0.977,735,1,島尻郡伊是名村,693,0.9971139971139971,0.9971139971139971
1980,0.977,736,1,宮古郡伊良部村,2626,0.9725818735719726,0.9725818735719726
1980,0.977,737,1,宮古郡多良間村,520,0.9980769230769231,0.9980769230769231
1980,0.977,738,1,八重山郡竹富町,1529,0.9908436886854153,0.9908436886854153
1980,0.977,739,1,八重山郡与那国町,673,1,1
1985,0.98,75,1,檜山支庁奥尻町,1761,0.986939239068711,0.986939239068711
1985,0.98,76,1,宗谷支庁礼文町,2423,1,1
1985,0.98,77,2,宗谷支庁利尻町; 宗谷支庁東利尻町,4216,0.9988187154717891,0.9988140417457305
1985,0.98,529,1,大島支庁大島町,4129,0.9975781060789537,0.9975781060789537
1985,0.98,530,1,大島支庁利島村,155,1,1
1985,0.98,531,1,大島支庁新島本村,1360,1,1
1985,0.98,532,1,大島支庁神津島村,928,1,1
1985,0.98,533,1,三宅支庁三宅村,1747,0.9988551803091014,0.9988551803091014
1985,0.98,534,1,三宅支庁御蔵島村,94,1,1
1985,0.98,535,1,八丈支庁八丈町,3975,0.999245283018868,0.999245283018868
1985,0.98,536,1,八丈支庁青ヶ島村,117,0.9829059829059829,0.9829059829059829
1985,0.98,537,1,小笠原支庁小笠原村,1026,0.9990253411306043,0.9990253411306043
1985,0.98,538,7,両津市; 佐渡郡相川町; 佐渡郡佐和田町; 佐渡郡金井町; 佐渡郡新穂村; 佐渡郡畑野町; 佐渡郡真野町,31038,0.9872205099173517,0.9880146916682776
1985,0.98,539,3,佐渡郡小木町; 佐渡郡羽茂町; 佐渡郡赤泊村,6564,0.9365080675882319,0.9361669713589275
1985,0.98,540,1,岩船郡粟島浦村,172,0.9941860465116279,0.9941860465116279
1985,0.98,541,1,鹿島郡能登島町,1850,0.7859459459459459,0.7859459459459459
1985,0.98,542,1,飾磨郡家島町,3125,0.98688,0.98688
1985,0.98,543,1,八束郡八束町,1970,0.6015228426395939,0.6015228426395939
1985,0.98,544,4,隠岐郡西郷町; 隠岐郡布施村; 隠岐郡五箇村; 隠岐郡都万村,7846,0.9683816112912802,0.9672444557736426
1985,0.98,545,1,隠岐郡海士町,1235,0.8809716599190284,0.8809716599190284
1985,0.98,546,1,隠岐郡西ノ島町,1704,0.9184272300469484,0.9184272300469484
1985,0.98,547,1,隠岐郡知夫村,327,0.8929663608562691,0.8929663608562691
1985,0.98,548,2,因島市; 豊田郡瀬戸田町,17680,0.9423082741352149,0.943947963800905
1985,0.98,549,2,越智郡上浦町; 越智郡大三島町,4186,0.8641293072252825,0.8686096512183469
1985,0.98,550,1,安芸郡下蒲刈町,1453,0.5567790777701308,0.5567790777701308
1985,0.98,551,1,安芸郡蒲刈町,1499,0.6464309539693128,0.6464309539693128
1985,0.98,552,1,佐伯郡宮島町,1378,0.7648766328011611,0.7648766328011611
1985,0.98,553,2,豊田郡豊浜町; 豊田郡豊町,3438,0.9292658678391836,0.9281559045956952
1985,0.98,554,3,豊田郡大崎町; 豊田郡東野町; 豊田郡木江町,5083,0.8978991371399023,0.8955341333857958
1985,0.98,555,1,沼隈郡内海町,1293,0.5065738592420727,0.5065738592420727
1985,0.98,556,3,小豆郡内海町; 小豆郡土庄町; 小豆郡池田町,16821,0.9637767721012025,0.9605849830568932
1985,0.98,557,1,香川郡直島町,1933,0.9384376616658044,0.9384376616658044
1985,0.98,558,2,越智郡吉海町; 越智郡宮窪町,3938,0.8857482538267202,0.8791264601320468
1985,0.98,559,1,越智郡伯方町,3454,0.89635205558772435,0.89635205558772435
1985,0.98,560,1,越智郡魚島村,168,0.9880952380952381,0.9880952380952381
1985,0.98,561,1,越智郡弓削町,1729,0.48409485251590517,0.48409485251590517
1985,0.98,562,1,越智郡生名村,995,0.31155778894472363,0.31155778894472363
1985,0.98,563,1,越智郡岩城村,1190,0.7798319327731092,0.7798319327731092
1985,0.98,564,1,越智郡関前村,514,0.9396887159533074,0.9396887159533074
1985,0.98,565,1,温泉郡中島町,4296,0.9930167597765364,0.9930167597765364
1985,0.98,566,1,宗像郡大島村,417,0.9640287769784173,0.9640287769784173
1985,0.98,567,5,福江市; 南松浦郡富江町; 南松浦郡玉之浦町; 南松浦郡三井楽町; 南松浦郡岐宿町,17791,0.9499171027712268,0.9650947108088359
1985,0.98,568,1,平戸市,10120,0.9274703557312253,0.9274703557312253
1985,0.98,569,1,西彼杵郡伊王島町,377,0.6604774535809018,0.6604774535809018
1985,0.98,570,1,西彼杵郡高島町,2359,0.9923696481559983,0.9923696481559983
1985,0.98,571,1,西彼杵郡大島町,2603,0.9285439877064925,0.9285439877064925
1985,0.98,572,1,西彼杵郡崎戸町,1087,0.8721251149954001,0.8721251149954001
1985,0.98,573,1,北松浦郡大島村,743,0.9650067294751009,0.9650067294751009
1985,0.98,574,1,北松浦郡生月町,3435,0.910334788937409,0.910334788937409
1985,0.98,575,1,北松浦郡小値賀町,1685,0.9572700296735905,0.9572700296735905
1985,0.98,576,1,北松浦郡宇久町,1581,0.8690702087286527,0.8690702087286527
1985,0.98,577,1,北松浦郡福島町,1384,0.7319364161849711,0.7319364161849711
1985,0.98,578,1,北松浦郡鷹島町,1437,0.9791231732776617,0.9791231732776617
1985,0.98,579,1,南松浦郡奈留町,1818,0.9774477447744775,0.9774477447744775
1985,0.98,580,5,南松浦郡若松町; 南松浦郡上五島町; 南松浦郡新魚目町; 南松浦郡有川町; 南松浦郡奈良尾町,11476,0.9484296899389614,0.9432729173928198
1985,0.98,581,4,壱岐郡郷ノ浦町; 壱岐郡勝本町; 壱岐郡芦辺町; 壱岐郡石田町,14698,0.9933832529172724,0.994489046128725
1985,0.98,582,4,対馬支庁厳原町; 対馬支庁美津島町; 対馬支庁豊玉町; 対馬支庁峰町,13334,0.9901339644741763,0.9925753712314385
1985,0.98,583,2,対馬支庁上県町; 対馬支庁上対馬町,4353,0.9833890626914854,0.9841488628532047
1985,0.98,584,7,本渡市; 天草郡有明町; 天草郡栖本町; 天草郡新和町; 天草郡五和町; 天草郡苓北町; 天草郡天草町,33666,0.9601127930243004,0.9650686152201033
1985,0.98,585,2,牛深市; 天草郡河浦町,12254,0.9577323961243135,0.9693977476742288
1985,0.98,586,4,天草郡松島町; 天草郡姫戸町; 天草郡龍ヶ岳町; 天草郡倉岳町,9428,0.9080881337313386,0.8976453118370811
1985,0.98,587,1,天草郡御所浦町,1827,0.9447181171319102,0.9447181171319102
