municipality,cz,size
30421,204,7566
30422,204,1292
30424,232,1375
30427,204,209
30428,232,7922
31201,233,85766
31202,234,61385
31203,235,25459
31204,234,15797
31302,233,6847
31325,233,2830
31328,233,4791
31329,233,10160
31364,235,4296
31370,235,8323
31371,235,10888
31372,235,8543
31384,234,1337
31386,234,10600
31389,234,6012
31390,234,6255
31401,234,3663
31402,234,2505
31403,234,2303
32201,236,87308
32202,237,30965
32203,236,76039
32204,238,25904
32205,237,19770
32206,236,22582
32207,237,12878
32209,236,22734
32343,236,8158
32386,239,3299
32441,237,2480
32448,237,3307
32449,237,7043
32501,238,5420
32505,238,3852
32525,240,1162
32526,240,1610
32527,241,286
32528,242,7709
33100,243,260416
33202,244,186249
33203,245,46623
33204,243,28880
33205,244,23987
33207,244,21881
33208,244,27722
33209,246,19359
33210,247,18230
33211,243,18652
33212,243,15785
33213,243,16651
33214,248,26890
33215,245,15912
33216,244,16221
33346,243,7256
33423,243,4555
33445,244,4510
33461,244,7830
33586,248,521
33606,245,7103
33622,245,5176
33623,245,3075
33643,245,837
33663,245,2958
33666,245,8343
33681,246,6885
34100,249,456469
34202,249,106467
34203,250,14012
34204,250,45934
34205,251,65552
34207,244,185196
34208,244,23562
34209,239,29262
34210,239,23051
34211,252,13523
34212,250,59616
34213,249,40103
34214,249,16966
34215,249,13008
34302,249,21329
34304,249,13259
34307,249,9840
34309,249,5113
34368,249,4592
34369,249,10497
34431,250,4342
34462,250,10113
34545,244,6954
35201,253,125584
35202,253,72234
35203,253,77923
35204,254,29265
35206,253,47594
35207,255,21403
35208,252,64616
35210,255,22459
35211,254,20784
35212,255,16192
35213,253,15493
35215,255,67250
35216,253,27878
35305,256,10023
35321,252,2753
35341,255,1946
35343,255,6808
35344,255,5668
35502,254,2478
36201,257,105176
36202,257,26648
36203,258,17241
36204,258,32832
36205,257,19743
36206,257,18584
36207,259,15759
36208,259,16682
36301,258,3280
36302,260,1056
36321,257,1696
36341,257,10677
36342,257,4552
36368,258,5703
36383,261,2522
36387,261,4012
36388,261,5091
36401,257,4994
36402,257,7850
36403,257,10341
36404,257,5270
36405,257,5056
36468,259,6107
36489,259,6659
37201,262,168969
37202,262,42174
37203,262,26928
37204,262,14836
37205,262,30820
37206,262,24260
37207,262,17710
37208,262,33803
37322,263,8096
37324,263,8194
37341,262,11229
37364,243,1798
37386,262,5255
37387,262,10448
37403,262,5394
37404,262,9797
37406,262,9885
38201,264,183172
38202,265,75040
38203,266,43078
38204,267,20705
38205,265,49430
38206,265,45505
38207,267,23249
38210,264,17112
38213,265,41091
38214,267,21088
38215,264,12084
38356,251,3371
38386,264,5678
38401,264,11332
38402,264,8405
38422,267,9713
38442,267,5928
38484,266,2252
38488,266,5964
38506,268,12474
39201,269,138862
39202,261,7714
39203,270,10335
39204,269,19725
39205,269,14029
39206,271,12700
39208,272,10714
39209,273,7449
39210,272,17027
39211,269,13563
39212,269,13858
39301,261,1427
39302,270,1673
39303,270,1578
39304,270,1896
39305,270,699
39306,270,617
39307,270,2061
39341,274,2300
39344,274,3260
39363,274,2343
39364,274,326
39386,269,12075
39387,269,3478
39401,271,3896
39402,269,6337
39403,269,3555
39405,275,2285
39410,269,2632
39411,271,3309
39412,271,10476
39424,272,2985
39427,272,839
