i,cluster
38506,212
39201,214
39202,215
39203,215
39204,214
39205,214
39206,216
39208,217
39209,217
39210,217
39211,214
39212,214
39301,207
39302,215
39303,215
39304,215
39305,215
39306,215
39307,215
39341,214
39344,214
39363,214
39364,214
39386,214
39387,214
39401,216
39402,214
39403,214
39405,216
39410,214
39411,216
39412,216
39424,217
39427,217
39428,217
40100,218
40130,219
40202,220
40203,221
40204,222
40205,222
40206,222
40207,221
40210,221
40211,221
40212,221
40213,218
40214,223
40215,218
40216,221
40217,219
40218,219
40219,219
40220,219
40221,219
40223,219
40224,219
40225,221
40226,222
40227,222
40228,221
40229,221
40230,219
40305,219
40341,219
40342,219
40343,219
40344,219
40345,219
40348,219
40349,219
40381,218
40382,218
40383,218
40384,218
40401,222
40402,222
40421,222
40447,221
40448,224
40503,221
40522,221
40544,221
40601,222
40602,222
40604,222
40605,222
40608,222
40609,222
40610,222
40621,218
40625,218
40642,223
40646,223
40647,218
41201,225
41202,226
41203,225
41204,225
41205,227
41206,225
41207,225
41208,225
41209,225
41210,225
41327,225
41341,225
41345,225
41346,225
41387,226
41401,227
41423,225
41424,225
41425,225
41441,225
42201,228
42202,227
42203,228
42204,228
42205,228
42207,227
42208,227
42209,229
42210,230
42211,231
42212,228
42213,228
42214,228
42307,228
42308,228
42321,228
42322,227
42323,227
42383,232
42391,227
42411,233
43100,234
43202,234
43203,235
43204,220
43205,236
43206,220
43208,234
43210,234
43211,234
43212,237
43213,234
43214,238
43215,237
43216,234
43348,234
43364,220
43367,220
43368,220
43369,220
43403,234
43404,234
43423,239
43424,239
43425,238
43428,238
43432,234
43433,238
43441,234
43442,234
43443,234
43444,234
43447,240
43468,234
43482,236
43484,236
43501,235
43505,235
43506,235
43507,235
43510,235
43511,235
43512,235
43513,235
43514,235
43531,237
44201,241
44202,241
44203,223
44204,224
44205,241
44206,241
44207,241
44208,241
44209,223
44210,241
44211,223
44212,241
44213,241
44214,242
44322,242
44341,241
44461,224
44462,224
45201,243
45202,244
45203,245
45204,246
45205,244
45206,245
45207,246
45208,243
45209,244
45341,244
45361,244
45382,243
45383,243
45401,243
45402,243
